instrument_id,isin,cusip,sedol,bloomberg_ticker,reuters_ric,asset_class,instrument_type,sector,industry,name,description,issuer,issue_date,exchange,currency,trading_currency,settlement_currency,tick_size,lot_size,min_trade_size,last_price,bid_price,ask_price,volume,market_cap,maturity_date,coupon_rate,coupon_frequency,yield_to_maturity,duration,credit_rating,underlying,strike_price,expiry_date,contract_size,var_95,var_99,beta,sharpe_ratio,status,is_tradeable,last_updated
INST000001,GB8389827448,,4931111,SHEL US FX,JPM,FX,Spot,Financials,Retail,German Bund Option,Option issued by Apple Inc,JP Morgan Chase,2016-11-22,ICE,CAD,GBP,CAD,0.01,1,100,543.09,17.13,642.25,8439064,,,,,,,,,194.3,,,81923.32,65217.9,,,Active,True,2025-08-12T14:37:36.256176
INST000002,GB6795086650,703735092,8913324,DBK GY EQU,DBK.L,Equity,Preferred Stock,Consumer,Software,Toyota Motor ADR,Preferred Stock issued by Goldman Sachs,Goldman Sachs,2015-11-06,NASDAQ,USD,EUR,EUR,1e-05,10,1,632.21,466.3,651.74,9577070,233883378044,,,,,,,,,,,55988.77,133351.83,1.053,0.326,Active,True,2025-08-12T14:37:36.256201
INST000003,GB2703697042,104130382,,SHEL FP EQU,JPM.DE,Equity,Preferred Stock,Technology,Aerospace,Apple Inc ETF,Common Stock issued by Microsoft Corp,Apple Inc,2019-01-16,NASDAQ,CHF,GBP,CHF,1e-05,10,10,429.93,679.37,643.85,9933980,647373398238,,,,,,,,,,,80953.66,112386.44,1.885,0.285,Delisted,True,2025-08-12T14:37:36.256219
INST000004,JP1741615420,529047909,,DBK GY EQU,DBK,Equity,ADR,Energy,Oil & Gas,Goldman Sachs ADR,Common Stock issued by JP Morgan Chase,BNP Paribas,2022-05-08,XETRA,USD,GBP,USD,0.001,100,10,374.96,614.79,141.79,5880314,238835381187,,,,,,,,,,,20164.98,66801.2,1.993,1.943,Active,True,2025-08-12T14:37:36.256232
INST000005,JP9958146611,,,SHEL US COM,AAPL.PA,Commodity,Agriculture,Healthcare,Retail,BNP Paribas Energy,Metal issued by Deutsche Bank,BNP Paribas,2024-03-02,ICE,EUR,USD,EUR,0.01,100,10,546.83,829.59,321.36,8302863,,,,,,,,,,,,80983.95,55827.14,,,Delisted,True,2025-08-12T14:37:36.256253
INST000006,JP6260343526,868677091,7780839,NESN FP EQU,GS,Equity,Preferred Stock,Financials,Software,German Bund Common Stock,Common Stock issued by Deutsche Bank,HSBC Holdings,2019-11-29,LSE,EUR,GBP,USD,0.001,10,10,815.07,738.19,625.56,2841268,256821838057,,,,,,,,,,,34837.19,30181.19,1.682,2.819,Active,True,2025-08-12T14:37:36.256268
INST000007,US3497768598,,6555371,SHEL US COM,GS.PA,Commodity,Metal,Technology,Oil & Gas,Royal Dutch Shell Energy,Metal issued by Nestle SA,Royal Dutch Shell,2024-02-03,CME,USD,USD,EUR,0.0001,10,1000,590.41,981.75,271.19,8435970,,,,,,,,,,,,50483.35,152105.62,,,Suspended,True,2025-08-12T14:37:36.256282
INST000008,DE1588480494,,,NESN GY DER,DBK.N,Derivative,Swap,Consumer,Aerospace,Nestle SA Forward,Swap issued by Nestle SA,Nestle SA,2023-02-05,OTC,GBP,JPY,JPY,0.0001,100,1000,782.6,24.05,102.59,3999397,,,,,,,,INST000033,94.28,2026-08-08,1000,24861.31,198617.08,,,Suspended,True,2025-08-12T14:37:36.256300
INST000009,US6834996376,453378791,,NESN FP EQU,AAPL,Equity,ADR,Technology,Retail,UK Gilt Preferred Stock,ETF issued by Apple Inc,Apple Inc,2021-09-28,LSE,USD,JPY,USD,0.001,10,10,104.27,926.96,631.77,3192888,642386649196,,,,,,,,,,,92806.02,159507.86,1.047,2.164,Delisted,True,2025-08-12T14:37:36.256313
INST000010,JP3491789011,,,SHEL US FX,GS,FX,Spot,Healthcare,Aerospace,Toyota Motor Spot,NDF issued by Toyota Motor,Goldman Sachs,2024-09-08,ICE,CAD,CHF,CAD,0.001,1000,100,584.3,597.86,757.27,8608886,,,,,,,,,72.4,,,2384.68,133178.39,,,Suspended,True,2025-08-12T14:37:36.256325
